home_team,away_team,week,season,yahoo_spread
ATL,TB,1,2025,2.5
BUF,BAL,1,2025,1.5
CHI,MIN,1,2025,1.5
CLE,CIN,1,2025,5.5
DEN,TEN,1,2025,-8.0
GB,DET,1,2025,-2.5
IND,MIA,1,2025,-1.0
JAX,CAR,1,2025,-3.5
LA,HOU,1,2025,-3.0
LAC,KC,1,2025,3.0
NE,LV,1,2025,-2.5
NO,ARI,1,2025,6.5
NYJ,PIT,1,2025,3.0
PHI,DAL,1,2025,-8.5
SEA,SF,1,2025,2.5
WAS,NYG,1,2025,-6.0
ARI,CAR,2,2025,-6.5
BAL,CLE,2,2025,-11.5
CIN,JAX,2,2025,-3.5
DAL,NYG,2,2025,-6.0
DET,CHI,2,2025,-6.0
GB,WAS,2,2025,-3.5
HOU,TB,2,2025,-2.5
IND,DEN,2,2025,2.0
KC,PHI,2,2025,1.0
LV,LAC,2,2025,3.5
MIA,NE,2,2025,-1.5
MIN,ATL,2,2025,-4.5
NO,SF,2,2025,4.5
NYJ,BUF,2,2025,6.5
PIT,SEA,2,2025,-3.0
TEN,LA,2,2025,5.5
BAL,DET,3,2025,-5.5
BUF,MIA,3,2025,-12.5
CAR,ATL,3,2025,6.0
CHI,DAL,3,2025,-1.0
CLE,GB,3,2025,8.0
JAX,HOU,3,2025,-1.0
LAC,DEN,3,2025,-3.0
MIN,CIN,3,2025,-3.0
NE,PIT,3,2025,1.5
NYG,KC,3,2025,6.5
PHI,LA,3,2025,-3.5
SEA,NO,3,2025,-7.5
SF,ARI,3,2025,-1.5
TB,NYJ,3,2025,-7.0
TEN,IND,3,2025,3.5
WAS,LV,3,2025,-3.5
ARI,SEA,4,2025,1.0
ATL,WAS,4,2025,1.5
BUF,NO,4,2025,-16.5
DAL,GB,4,2025,7.0
DEN,CIN,4,2025,-7.5
DET,CLE,4,2025,-9.0
HOU,TEN,4,2025,-7.0
KC,BAL,4,2025,2.5
LA,IND,4,2025,-3.5
LV,CHI,4,2025,1.0
MIA,NYJ,4,2025,-2.5
NE,CAR,4,2025,-5.5
