home_team,away_team,week,season,yahoo_spread,game_order
CAR,CHI,1,2026,2.5,7
CIN,TB,1,2026,-3.5,2
DET,NO,1,2026,-7.0,3
HOU,BUF,1,2026,1.5,9
IND,BAL,1,2026,3.5,5
JAX,CLE,1,2026,-8.5,8
KC,DEN,1,2026,-3.0,15
LA,SF,1,2026,-3.5,1
LAC,ARI,1,2026,-10.0,13
LV,MIA,1,2026,-3.5,10
MIN,GB,1,2026,-1.5,11
NYG,DAL,1,2026,2.5,14
PHI,WAS,1,2026,-5.0,12
PIT,ATL,1,2026,-3.5,6
SEA,NE,1,2026,-3.5,0
TEN,NYJ,1,2026,-1.5,4
ARI,SEA,2,2026,4.0,12
ATL,CAR,2,2026,2.5,1
BAL,NO,2,2026,-8.5,7
BUF,DET,2,2026,-4.5,0
CHI,MIN,2,2026,-5.5,2
DAL,WAS,2,2026,-4.0,11
DEN,JAX,2,2026,-2.5,9
HOU,CIN,2,2026,-2.5,8
KC,IND,2,2026,-6.5,14
LA,NYG,2,2026,-7.5,15
LAC,LV,2,2026,-6.5,10
NE,PIT,2,2026,-4.5,4
NYJ,GB,2,2026,3.5,5
SF,MIA,2,2026,-13.5,13
TB,CLE,2,2026,-8.5,6
TEN,PHI,2,2026,7.0,3
